,Ang Mo Kio,Bedok,Bidadari,Bishan,Bukit Batok,Bukit Merah,Bukit Panjang,Bukit Timah,Central,Changi,Choa Chu Kang,Clementi,Geylang,Hougang,Jurong East,Jurong West,Kallang,Kembangan,Marine Parade,Novena,Pasir Ris,Punggol,Queenstown,Sembawang,Sengkang,Sentosa,Serangoon,Tampines,Toa Payoh,Whampoa,Woodlands,Woodland,Yishun
1846,7.0,4.0,3.0,5.0,5.0,15.0,10.0,1.0,10.0,0.0,10.0,7.0,5.0,11.0,11.0,19.0,7.0,1.0,2.0,0.0,8.0,4.0,12.0,0.0,13.0,7.0,12.0,17.0,4.0,2.0,11.0,4.0,13.0
1847,10.0,4.0,1.0,4.0,4.0,7.0,7.0,4.0,6.0,1.0,8.0,0.0,4.0,12.0,4.0,11.0,3.0,0.0,3.0,0.0,3.0,8.0,6.0,3.0,13.0,2.0,3.0,9.0,4.0,0.0,4.0,0.0,8.0
1848,3.0,5.0,1.0,0.0,2.0,5.0,3.0,2.0,7.0,0.0,4.0,3.0,2.0,8.0,1.0,4.0,8.0,1.0,2.0,1.0,2.0,6.0,3.0,3.0,2.0,0.0,0.0,7.0,2.0,2.0,4.0,1.0,6.0
1849,2.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,3.0,4.0,0.0,3.0,3.0,0.0,0.0,0.0,5.0,2.0,4.0,1.0,4.0,0.0,2.0,5.0,1.0,1.0,3.0,0.0,3.0
1850,5.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,4.0,0.0,2.0,3.0,2.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,5.0,3.0,1.0,1.0,2.0,1.0,3.0
1851,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0
1852,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1853,1.0,1.0,1.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,5.0,0.0,1.0,4.0,2.0,0.0,2.0,0.0,2.0
1854,0.0,8.0,0.0,1.0,6.0,2.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,6.0,2.0,4.0,0.0,0.0,0.0,0.0,9.0,6.0,1.0,0.0,5.0,0.0,1.0,3.0,1.0,0.0,5.0,0.0,7.0
1855,5.0,7.0,0.0,1.0,5.0,3.0,6.0,1.0,5.0,0.0,12.0,2.0,4.0,5.0,9.0,12.0,2.0,0.0,1.0,0.0,7.0,11.0,3.0,1.0,14.0,4.0,4.0,16.0,1.0,0.0,13.0,2.0,10.0
1856,7.0,5.0,0.0,1.0,6.0,7.0,13.0,0.0,7.0,1.0,9.0,2.0,6.0,16.0,6.0,9.0,5.0,0.0,4.0,0.0,9.0,7.0,7.0,5.0,9.0,0.0,4.0,13.0,5.0,1.0,12.0,3.0,11.0
1857,4.0,4.0,1.0,9.0,6.0,7.0,7.0,2.0,2.0,1.0,4.0,0.0,3.0,5.0,5.0,8.0,0.0,0.0,1.0,1.0,5.0,6.0,3.0,2.0,8.0,0.0,5.0,11.0,7.0,0.0,10.0,1.0,8.0
1858,9.0,6.0,0.0,3.0,4.0,6.0,5.0,1.0,9.0,1.0,6.0,2.0,3.0,5.0,4.0,4.0,3.0,0.0,4.0,0.0,7.0,10.0,5.0,4.0,6.0,1.0,2.0,10.0,2.0,0.0,12.0,3.0,6.0
1859,6.0,3.0,0.0,2.0,6.0,8.0,6.0,1.0,8.0,0.0,7.0,1.0,6.0,4.0,9.0,13.0,5.0,0.0,2.0,1.0,8.0,7.0,10.0,4.0,8.0,2.0,7.0,14.0,3.0,2.0,8.0,2.0,12.0
1860,11.0,8.0,0.0,4.0,7.0,5.0,5.0,4.0,15.0,3.0,5.0,2.0,11.0,5.0,8.0,10.0,5.0,0.0,0.0,1.0,7.0,5.0,9.0,2.0,11.0,1.0,4.0,11.0,6.0,1.0,8.0,1.0,5.0
1861,7.0,8.0,0.0,3.0,5.0,11.0,2.0,0.0,23.0,2.0,5.0,5.0,3.0,7.0,9.0,20.0,12.0,2.0,2.0,0.0,6.0,9.0,11.0,1.0,14.0,2.0,4.0,11.0,5.0,2.0,5.0,0.0,4.0
1862,3.0,12.0,0.0,2.0,2.0,10.0,2.0,7.0,24.0,1.0,1.0,3.0,7.0,6.0,3.0,10.0,4.0,1.0,0.0,1.0,8.0,3.0,5.0,7.0,7.0,1.0,1.0,16.0,3.0,2.0,11.0,3.0,9.0
1863,5.0,11.0,1.0,3.0,3.0,8.0,2.0,3.0,27.0,1.0,6.0,4.0,13.0,4.0,9.0,7.0,9.0,0.0,5.0,2.0,4.0,9.0,5.0,1.0,8.0,3.0,3.0,9.0,1.0,1.0,11.0,2.0,4.0
1864,5.0,3.0,1.0,2.0,7.0,16.0,4.0,1.0,33.0,2.0,2.0,1.0,5.0,9.0,7.0,4.0,13.0,0.0,2.0,3.0,8.0,9.0,10.0,2.0,7.0,1.0,6.0,8.0,1.0,1.0,8.0,1.0,15.0
1865,12.0,12.0,1.0,7.0,8.0,27.0,6.0,3.0,43.0,4.0,5.0,6.0,10.0,13.0,10.0,10.0,17.0,1.0,9.0,1.0,12.0,14.0,13.0,13.0,22.0,4.0,6.0,16.0,8.0,0.0,9.0,2.0,13.0
1866,13.0,11.0,2.0,6.0,13.0,45.0,5.0,6.0,48.0,2.0,8.0,14.0,19.0,27.0,13.0,7.0,16.0,1.0,2.0,1.0,17.0,15.0,11.0,12.0,12.0,4.0,15.0,18.0,6.0,0.0,17.0,1.0,10.0
1867,10.0,11.0,3.0,5.0,18.0,19.0,9.0,1.0,48.0,2.0,11.0,3.0,11.0,19.0,12.0,18.0,23.0,2.0,5.0,0.0,9.0,17.0,11.0,3.0,11.0,5.0,11.0,31.0,11.0,5.0,15.0,1.0,14.0
1868,8.0,12.0,0.0,3.0,8.0,18.0,11.0,4.0,53.0,5.0,10.0,6.0,4.0,16.0,15.0,9.0,16.0,1.0,4.0,0.0,15.0,9.0,8.0,5.0,13.0,1.0,9.0,14.0,4.0,3.0,17.0,4.0,16.0
1869,11.0,10.0,1.0,5.0,7.0,17.0,9.0,2.0,26.0,2.0,12.0,4.0,7.0,28.0,8.0,10.0,12.0,2.0,5.0,1.0,12.0,12.0,8.0,6.0,13.0,1.0,9.0,23.0,8.0,1.0,17.0,2.0,8.0
1870,9.0,9.0,0.0,3.0,9.0,20.0,11.0,9.0,10.0,0.0,11.0,2.0,13.0,14.0,7.0,19.0,15.0,1.0,7.0,0.0,10.0,16.0,13.0,10.0,14.0,3.0,9.0,23.0,12.0,1.0,16.0,2.0,13.0
1871,9.0,8.0,2.0,3.0,5.0,15.0,10.0,1.0,14.0,0.0,4.0,5.0,6.0,15.0,5.0,13.0,11.0,0.0,1.0,0.0,12.0,7.0,3.0,2.0,8.0,1.0,3.0,12.0,4.0,2.0,8.0,1.0,9.0
1872,12.0,7.0,0.0,3.0,4.0,6.0,5.0,2.0,5.0,0.0,6.0,6.0,10.0,14.0,2.0,11.0,7.0,1.0,1.0,0.0,2.0,7.0,5.0,5.0,10.0,0.0,4.0,8.0,10.0,2.0,13.0,3.0,8.0
1873,5.0,5.0,0.0,4.0,3.0,6.0,3.0,0.0,7.0,0.0,5.0,3.0,5.0,9.0,5.0,4.0,7.0,0.0,1.0,0.0,8.0,14.0,2.0,3.0,7.0,1.0,2.0,8.0,7.0,0.0,6.0,1.0,11.0
1874,5.0,0.0,0.0,1.0,2.0,6.0,3.0,0.0,3.0,0.0,2.0,1.0,3.0,3.0,1.0,4.0,5.0,0.0,3.0,0.0,4.0,5.0,1.0,2.0,6.0,1.0,4.0,6.0,4.0,1.0,7.0,0.0,5.0
1875,1.0,4.0,0.0,0.0,1.0,3.0,1.0,0.0,2.0,0.0,2.0,1.0,4.0,3.0,1.0,5.0,1.0,0.0,1.0,0.0,2.0,7.0,0.0,1.0,6.0,0.0,1.0,2.0,0.0,0.0,5.0,0.0,0.0
1876,1.0,0.0,0.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,0.0,5.0,1.0,0.0,0.0,0.0,2.0,3.0,2.0,1.0,3.0,0.0,3.0,1.0,3.0,1.0,2.0,0.0,4.0
1877,1.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,1.0,0.0,3.0,0.0,1.0,2.0,0.0,4.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,2.0,0.0,2.0,7.0,0.0,0.0,4.0,0.0,7.0
1878,5.0,5.0,0.0,1.0,4.0,2.0,1.0,0.0,1.0,0.0,5.0,1.0,1.0,4.0,3.0,4.0,2.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,2.0,2.0,1.0,6.0,0.0,0.0,3.0,0.0,5.0
1879,2.0,4.0,0.0,1.0,3.0,1.0,3.0,0.0,1.0,2.0,8.0,1.0,6.0,6.0,5.0,11.0,1.0,1.0,1.0,0.0,5.0,8.0,4.0,2.0,13.0,3.0,3.0,12.0,1.0,0.0,13.0,4.0,9.0
1880,13.0,3.0,1.0,1.0,5.0,4.0,5.0,1.0,5.0,1.0,16.0,4.0,6.0,7.0,6.0,24.0,1.0,0.0,2.0,1.0,6.0,12.0,4.0,8.0,13.0,0.0,5.0,17.0,3.0,0.0,15.0,3.0,10.0
1881,11.0,7.0,1.0,5.0,11.0,5.0,7.0,4.0,8.0,2.0,10.0,4.0,8.0,10.0,3.0,12.0,6.0,0.0,4.0,0.0,8.0,12.0,7.0,6.0,15.0,1.0,2.0,20.0,5.0,1.0,10.0,2.0,16.0
1882,13.0,10.0,0.0,3.0,8.0,8.0,14.0,3.0,11.0,1.0,12.0,6.0,4.0,15.0,7.0,14.0,5.0,0.0,2.0,0.0,10.0,12.0,6.0,5.0,17.0,1.0,7.0,18.0,5.0,1.0,26.0,7.0,16.0
1883,15.0,7.0,0.0,5.0,11.0,18.0,8.0,5.0,20.0,2.0,11.0,4.0,9.0,15.0,6.0,15.0,7.0,1.0,4.0,0.0,17.0,7.0,6.0,6.0,16.0,1.0,9.0,15.0,12.0,0.0,21.0,4.0,12.0
1884,9.0,9.0,0.0,5.0,6.0,18.0,12.0,4.0,36.0,1.0,7.0,10.0,11.0,11.0,18.0,12.0,11.0,1.0,10.0,1.0,12.0,13.0,8.0,6.0,11.0,4.0,4.0,19.0,7.0,1.0,19.0,3.0,7.0
1885,9.0,8.0,3.0,2.0,6.0,18.0,4.0,4.0,43.0,3.0,9.0,7.0,14.0,14.0,11.0,16.0,17.0,2.0,2.0,1.0,10.0,13.0,11.0,5.0,13.0,2.0,12.0,33.0,4.0,1.0,12.0,4.0,12.0
1886,9.0,12.0,1.0,3.0,5.0,18.0,9.0,3.0,32.0,3.0,9.0,3.0,9.0,11.0,17.0,11.0,14.0,0.0,3.0,2.0,14.0,7.0,10.0,4.0,15.0,5.0,8.0,16.0,6.0,1.0,19.0,2.0,15.0
1887,14.0,16.0,0.0,6.0,12.0,26.0,5.0,1.0,48.0,2.0,7.0,8.0,14.0,18.0,9.0,19.0,21.0,0.0,8.0,0.0,16.0,13.0,11.0,6.0,15.0,4.0,7.0,15.0,7.0,1.0,15.0,2.0,13.0
1888,5.0,8.0,0.0,4.0,12.0,22.0,8.0,4.0,53.0,5.0,8.0,7.0,11.0,19.0,10.0,9.0,15.0,0.0,7.0,0.0,16.0,17.0,9.0,10.0,17.0,3.0,11.0,18.0,2.0,2.0,22.0,6.0,11.0
1889,8.0,18.0,1.0,3.0,7.0,19.0,11.0,6.0,51.0,3.0,11.0,4.0,11.0,28.0,15.0,14.0,21.0,0.0,6.0,1.0,16.0,10.0,16.0,6.0,15.0,7.0,13.0,15.0,11.0,2.0,24.0,6.0,12.0
1890,11.0,15.0,1.0,7.0,8.0,21.0,8.0,1.0,42.0,2.0,14.0,6.0,9.0,25.0,15.0,13.0,17.0,0.0,6.0,0.0,11.0,7.0,7.0,5.0,15.0,3.0,12.0,24.0,7.0,0.0,20.0,6.0,21.0
